Date,Close,Open,High,Low,Volume,Change %
2025-03-04,139.34,136.15,140.94,135.81,28.63M,0.56%
2025-03-05,146.1,139.0,146.49,139.0,62.11M,4.85%
2025-03-06,150.44,146.79,152.2,146.2,79.12M,2.97%
2025-03-07,151.56,149.74,152.45,149.27,81.82M,0.74%
2025-03-10,151.05,151.56,154.24,150.41,54.45M,-0.34%
2025-03-11,150.75,148.1,151.7,148.0,35.92M,-0.20%
2025-03-12,150.3,151.0,152.28,147.7,26.38M,-0.30%
2025-03-13,150.88,152.0,153.56,150.02,48.29M,0.39%
2025-03-17,151.81,151.99,152.64,150.9,35.88M,0.62%
2025-03-18,154.66,153.0,154.83,152.22,38.13M,1.88%
2025-03-19,158.6,156.8,159.2,156.5,66.16M,2.55%
2025-03-20,159.04,160.0,160.1,156.65,39.89M,0.28%
2025-03-21,157.28,159.03,159.75,156.82,49.18M,-1.11%
2025-03-24,158.42,158.0,159.0,157.11,30.91M,0.72%
2025-03-25,156.73,159.0,159.0,156.05,28.47M,-1.07%
2025-03-26,155.81,156.2,157.54,155.01,23.18M,-0.59%
2025-03-27,155.42,154.8,156.1,154.2,25.91M,-0.25%
2025-03-28,154.24,155.38,156.91,153.37,24.59M,-0.76%
2025-04-01,153.12,152.07,155.34,152.07,29.14M,-0.73%
2025-04-02,154.69,154.0,156.25,152.27,24.98M,1.03%
2025-04-03,153.62,153.0,155.97,152.6,15.12M,-0.69%
2025-04-04,140.39,152.62,152.99,140.0,80.85M,-8.61%
